FiscalYear,QTR,FiscalYearType,AccountName,AgencyName,OperatingUnit,BenefitingCountry,Category,Sector,Amount
2010,2,Obligations,Child Survival and Health Programs Fund,USAID,USAID Global Health,Central Asia Region,Health,Pandemic Influenza and Other Emerging Threats ,-5000
2009,2,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Zimbabwe,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,40498
2012,3,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Libya,Program Management,Monitoring and Evaluation,-10198.1
2010,1,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Armenia,Armenia,Program Management,Direct Administrative Costs,-1628.54
2013,4,Obligations,N/A,USAID,Yemen,Yemen,Education and Social Services,Basic Education,-4793.71
2009,3,Obligations,Special Assistance Initiatives,USAID,Kosovo,Kosovo,"Democracy, Human Rights, and Governance",Good Governance,2191612
2010,2,Obligations,Global HIV/AIDS Initiative,USAID,USAID Global Health,Kazakhstan,Health,HIV/AIDS,-18.65
2009,1,Obligations,Development Assistance,USAID,Uganda,Uganda,"Democracy, Human Rights, and Governance",Civil Society,-101807
2009,4,Obligations,Global Health & Child Survival,USAID,USAID Global Health,Tanzania,Health,Malaria,169000
2012,2,Obligations,N/A,DOS,Honduras,Honduras,,Multi-Sector - Unspecified,257427.24
2011,3,Obligations,"Assistance for Europe, Eurasia and Central Asia",USAID,Azerbaijan,Azerbaijan,Program Management,Monitoring and Evaluation,105969.5
2012,4,Obligations,Complex Crises Fund,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Zimbabwe,Peace and Security,Conflict Mitigation and Reconciliation,200000
2010,1,Obligations,N/A,MCC,Senegal,Senegal,Economic Development,Infrastructure,3960000
2012,2,Obligations,Development Assistance,USAID,Office of Innovation and Development Alliances (USAID),Worldwide,Economic Development,Trade and Investment,647184
2011,1,Obligations,N/A,MCC,Philippines,Philippines,Economic Development,Macroeconomic Foundation for Growth,-7300000
2011,4,Obligations,Global Health & Child Survival,USAID,Nepal,Nepal,Health,Maternal and Child Health,7773000
2012,3,Obligations,Economic Support Fund,USAID,Mexico,Mexico,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1050459
2014,2,Obligations,N/A,USAID,South America Region,South America Region,Environment,Natural Resources and Biodiversity,5694271
2008,3,Obligations,N/A,MCC,Cape Verde,Cape Verde,Economic Development,Agriculture,594936
2009,2,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kazakhstan,Kazakhstan,Economic Development,Agriculture,-470.3
2013,1,Obligations,Global Health & Child Survival,USAID,Senegal,Senegal,Health,Nutrition,3497000
2010,4,Obligations,Development Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance","Congo, Democratic Republic of",Peace and Security,Conflict Mitigation and Reconciliation,1200000
2010,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Angola,Humanitarian Assistance,"Protection, Assistance and Solutions",50000
2013,2,Obligations,International Disaster Assistance,USAID,Worldwide,Worldwide,Program Management,Direct Administrative Costs,24648668.3
2012,4,Obligations,Development Assistance,USAID,Asia Middle East Regional,Asia Region,Health,Water Supply and Sanitation,7307000
2014,1,Obligations,N/A,Peace Corps,Micronesia,Micronesia,,Multi-Sector - Unspecified,9848.15
2013,2,Obligations,Economic Support Fund,USAID,Lebanon,Lebanon,Education and Social Services,Basic Education,-208336
2012,2,Obligations,Development Assistance,USAID,Tanzania,Tanzania,Environment,Clean Productive Environment,2498586
2012,4,Obligations,Special Assistance Initiatives,USAID,Albania,Albania,"Democracy, Human Rights, and Governance",Good Governance,-35.25
2012,2,Obligations,Transition Initiatives,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Lebanon,"Democracy, Human Rights, and Governance",Civil Society,-11224.86
2012,4,Obligations,Development Credit Authority,USAID,"USAID Economic Growth, Education and Environment",India,Environment,Clean Productive Environment,176877
2010,4,Obligations,Global Health & Child Survival,USAID,USAID Regional Development Mission-Asia,East Asia Region,Program Management,Monitoring and Evaluation,33498.77
2013,3,Obligations,Commodity Credit Corp Title II and III,USAID,South Sudan,South Sudan,Economic Development,Economic Opportunity,1115673.89
2012,2,Obligations,N/A,DOS,Costa Rica,Costa Rica,,Multi-Sector - Unspecified,1127430
2009,4,Obligations,Global Health & Child Survival,USAID,Brazil,Brazil,Health,Tuberculosis,3148563.52
2009,2,Obligations,International Disaster Assistance,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",Fiji,Humanitarian Assistance,"Protection, Assistance and Solutions",50000
2012,2,Obligations,Economic Support Fund,USAID,"Congo, Democratic Republic of","Congo, Democratic Republic of",Health,Water Supply and Sanitation,46970
2012,4,Obligations,Development Assistance,USAID,USAID South America Regional,South America Region,Environment,Natural Resources and Biodiversity,10751433
2013,3,Obligations,Development Fund for Africa,USAID,Ghana,Ghana,Program Management,Direct Administrative Costs,-347.47
2011,1,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Georgia,Georgia,Economic Development,Private Sector Competitiveness,-75033.25
2013,4,Obligations,Economic Support Fund,USAID,Pakistan,Pakistan,Program Management,Monitoring and Evaluation,5661059.24
2010,4,Obligations,Development Assistance,USAID,Zambia,Zambia,Economic Development,Agriculture,12103000
2010,4,Obligations,Development Assistance,USAID,Tanzania,Tanzania,"Democracy, Human Rights, and Governance",Good Governance,1600000
2009,4,Obligations,Global Health & Child Survival,USAID,USAID Operating Expense,Worldwide,Health,Malaria,161.92
2010,4,Obligations,Economic Support Fund,USAID,Liberia,Liberia,"Democracy, Human Rights, and Governance",Civil Society,3082000
2010,3,Obligations,Commodity Credit Corp Title II and III,USAID,"USAID Democracy, Conflict and Humanitarian Assistance",South Africa,Humanitarian Assistance,"Protection, Assistance and Solutions",-92316.01
2009,2,Obligations,N/A,MCC,Burkina Faso,Burkina Faso,Multi-Sector,Multi-Sector - Unspecified,235226.37
2010,4,Obligations,Assist. For N.I.S Of Former Soviet Union,USAID,Kyrgyz Republic,Kosovo,Health,Maternal and Child Health,-100.84
2012,2,Obligations,Operating Expenses,USAID,Liberia,Worldwide,Program Management,Direct Administrative Costs,2730969.98
2009,3,Obligations,Development Assistance,USAID,USAID Operating Expense,Worldwide,Economic Development,Agriculture,11.53
2012,4,Obligations,Global Health & Child Survival,USAID,Liberia,Liberia,Health,HIV/AIDS,2650000
2013,1,Obligations,N/A,USAID,Afghanistan,Afghanistan,Program Management,Monitoring and Evaluation,120.5
2012,1,Obligations,N/A,MCC,Mongolia,Mongolia,Multi-Sector,Multi-Sector - Unspecified,23381.15
2013,1,Obligations,International Disaster Assistance,USAID,Iraq,Iraq,Humanitarian Assistance,"Protection, Assistance and Solutions",-979749.03
