FiscalYear,FiscalYearType,AccountName,AgencyName,OperatingUnit,Category,Sector,Amount
2008,FY 2008 Actual Base,Global Health Programs - State,DOS and USAID,Honduras,Health,HIV/AIDS,1000000
2008,FY 2008 Actual Base,Development Assistance,DOS and USAID,Asia Middle East Regional Office (USAID),"Democracy, Human Rights, and Governance",Good Governance,904000
2009,FY 2009 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kazakhstan,"Democracy, Human Rights, and Governance",Good Governance,346000
2008,FY 2008 Actual Base,Global Health Programs - USAID,DOS and USAID,Cambodia,Health,Family Planning and Reproductive Health,3500000
2010,FY 2010 Actual Base,Development Assistance,DOS and USAID,Cambodia,Education and Social Services,Basic Education,1127000
2007,FY 2007 Actual Base,International Narcotics Control and Law Enforcement,DOS and USAID,Laos,Peace and Security,Counter-Narcotics,900000
2013,FY 2013 Foreign Military Financing Base - OCO,Economic Support Fund - OCO,DOS and USAID,Afghanistan,Economic Development,Trade and Investment,54195000
2010,FY 2010 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Libya,Peace and Security,Combating Weapons of Mass Destruction (WMD),300000
2014,FY 2014 Request,Global Health Programs - USAID,DOS and USAID,Madagascar,Health,Malaria,26000000
2008,FY 2008 Actual Base,"Nonproliferation, Antiterrorism, Demining and Related Programs",DOS and USAID,Western Hemisphere Regional Office (DOS),Peace and Security,Combating Weapons of Mass Destruction (WMD),5100000
2015,FY 2015 Request,International Narcotics Control and Law Enforcement,DOS and USAID,East Asia and Pacific Regional Office (DOS),Peace and Security,Stabilization Operations and Security Sector Reform,1000000
2011,FY 2011 Actual Base,Development Assistance,DOS and USAID,Sri Lanka,Peace and Security,Stabilization Operations and Security Sector Reform,1640000
2006,FY 2006 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Uzbekistan,Health,Other Public Health Threats,1746000
2006,FY 2006 Actual Base,Economic Support Fund,DOS and USAID,Morocco,Economic Development,Trade and Investment,1250000
2009,FY 2009 Actual Base,Foreign Military Financing,DOS and USAID,Azerbaijan,Peace and Security,Stabilization Operations and Security Sector Reform,3000000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,Zambia,Health,Tuberculosis,3218000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Middle East Partnership Initiative (DOS),Economic Development,Economic Opportunity,10000000
2015,FY 2015 Request,Economic Support Fund,DOS and USAID,Europe and Eurasia Regional (DOS & USAID),Peace and Security,Conflict Mitigation and Reconciliation,81000
2010,FY 2010 Actual Base,Global Health Programs - USAID,DOS and USAID,India,Program Management,Monitoring and Evaluation,3739000
2013,FY 2013 Actual Base,Economic Support Fund,DOS and USAID,Jordan,Health,Maternal and Child Health,10000000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,West Bank and Gaza,Economic Development,Economic Opportunity,10000000
2015,FY 2015 Request,International Military Education and Training,DOS and USAID,Libya,Peace and Security,Stabilization Operations and Security Sector Reform,1750000
2011,FY 2011 Actual Base,"Assistance for Europe, Eurasia and Central Asia",DOS and USAID,Kyrgyz Republic,Peace and Security,Stabilization Operations and Security Sector Reform,993000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Bolivia,"Democracy, Human Rights, and Governance",Good Governance,7348000
2008,FY 2008 Actual Base,Economic Support Fund,DOS and USAID,Haiti,Peace and Security,Conflict Mitigation and Reconciliation,22000000
2009,FY 2009 Actual Base,Foreign Military Financing,DOS and USAID,Slovenia,Peace and Security,Stabilization Operations and Security Sector Reform,400000
2006,FY 2006 Actual Base,Development Assistance,DOS and USAID,Nicaragua,Economic Development,Agriculture,4280000
2009,FY 2009 Actual Base,Development Assistance,DOS and USAID,Morocco,Economic Development,Agriculture,2600000
2015,FY 2015 Foreign Military Financing Request - OCO,International Narcotics Control and Law Enforcement - OCO,DOS and USAID,Syrian Arab Republic,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,4000000
