id,Time,Time_of_day,Visitors,Day,MonthName,year,Month,Date,day
1,12:00,PM,15,14,January,2014,1,1/14/2014,Tuesday
2,13:00,PM,58,17,January,2014,1,1/17/2014,Friday
3,12:30,PM,24,18,January,2014,1,1/18/2014,Saturday
4,13:30,PM,56,21,January,2014,1,1/21/2014,Tuesday
5,11:30,AM,50,22,January,2014,1,1/22/2014,Wednesday
6,11:30,AM,24,5,February,2014,2,2/5/2014,Wednesday
7,13:00,PM,94,6,February,2014,2,2/6/2014,Thursday
8,12:00,PM,69,8,February,2014,2,2/8/2014,Saturday
9,13:00,PM,83,10,February,2014,2,2/10/2014,Monday
10,12:00,PM,49,11,February,2014,2,2/11/2014,Tuesday
11,13:00,PM,36,12,February,2014,2,2/12/2014,Wednesday
12,11:00,AM,83,13,February,2014,2,2/13/2014,Thursday
13,12:00,PM,47,13,February,2014,2,2/13/2014,Thursday
14,13:00,PM,139,13,February,2014,2,2/13/2014,Thursday
15,12:00,PM,69,14,February,2014,2,2/14/2014,Friday
16,11:00,AM,61,15,February,2014,2,2/15/2014,Saturday
17,12:00,PM,220,15,February,2014,2,2/15/2014,Saturday
18,12:30,PM,40,15,February,2014,2,2/15/2014,Saturday
19,13:00,PM,90,15,February,2014,2,2/15/2014,Saturday
20,11:30,AM,54,17,February,2014,2,2/17/2014,Monday
21,12:00,PM,159,18,February,2014,2,2/18/2014,Tuesday
22,12:30,PM,171,18,February,2014,2,2/18/2014,Tuesday
23,17:00,PM,24,18,February,2014,2,2/18/2014,Tuesday
24,18:00,PM,100,18,February,2014,2,2/18/2014,Tuesday
25,12:00,PM,34,19,February,2014,2,2/19/2014,Wednesday
26,17:00,PM,53,19,February,2014,2,2/19/2014,Wednesday
27,13:00,PM,17,20,February,2014,2,2/20/2014,Thursday
28,12:00,PM,110,21,February,2014,2,2/21/2014,Friday
29,12:30,PM,93,22,February,2014,2,2/22/2014,Saturday
30,7:30,AM,96,25,February,2014,2,2/25/2014,Tuesday
31,13:00,PM,21,25,February,2014,2,2/25/2014,Tuesday
32,17:30,PM,119,25,February,2014,2,2/25/2014,Tuesday
33,12:00,PM,50,26,February,2014,2,2/26/2014,Wednesday
34,12:30,PM,132,26,February,2014,2,2/26/2014,Wednesday
35,18:00,PM,84,26,February,2014,2,2/26/2014,Wednesday
36,11:30,AM,22,27,February,2014,2,2/27/2014,Thursday
37,12:00,PM,106,27,February,2014,2,2/27/2014,Thursday
38,11:00,AM,294,28,February,2014,2,2/28/2014,Friday
39,11:30,AM,134,28,February,2014,2,2/28/2014,Friday
40,12:30,PM,61,28,February,2014,2,2/28/2014,Friday
41,13:30,PM,194,28,February,2014,2,2/28/2014,Friday
42,13:00,PM,89,1,March,2014,3,3/1/2014,Saturday
43,12:00,PM,185,2,March,2014,3,3/2/2014,Sunday
44,12:30,PM,119,3,March,2014,3,3/3/2014,Monday
45,13:00,PM,105,3,March,2014,3,3/3/2014,Monday
46,12:30,PM,263,4,March,2014,3,3/4/2014,Tuesday
47,13:30,PM,34,4,March,2014,3,3/4/2014,Tuesday
48,11:00,AM,90,5,March,2014,3,3/5/2014,Wednesday
49,12:00,PM,148,5,March,2014,3,3/5/2014,Wednesday
50,12:30,PM,114,5,March,2014,3,3/5/2014,Wednesday
51,17:30,PM,137,5,March,2014,3,3/5/2014,Wednesday
52,7:30,AM,90,6,March,2014,3,3/6/2014,Thursday
53,11:30,AM,260,6,March,2014,3,3/6/2014,Thursday
54,12:30,PM,69,6,March,2014,3,3/6/2014,Thursday
55,11:30,AM,58,7,March,2014,3,3/7/2014,Friday
56,12:00,PM,162,7,March,2014,3,3/7/2014,Friday
57,12:30,PM,96,7,March,2014,3,3/7/2014,Friday
58,13:00,PM,60,7,March,2014,3,3/7/2014,Friday
59,13:30,PM,54,7,March,2014,3,3/7/2014,Friday
60,14:30,PM,28,7,March,2014,3,3/7/2014,Friday
61,17:30,PM,121,7,March,2014,3,3/7/2014,Friday
62,12:00,PM,46,8,March,2014,3,3/8/2014,Saturday
63,12:30,PM,364,8,March,2014,3,3/8/2014,Saturday
64,13:00,PM,125,8,March,2014,3,3/8/2014,Saturday
65,12:00,PM,273,9,March,2014,3,3/9/2014,Sunday
66,12:30,PM,262,9,March,2014,3,3/9/2014,Sunday
67,13:00,PM,36,9,March,2014,3,3/9/2014,Sunday
68,12:00,PM,349,10,March,2014,3,3/10/2014,Monday
69,13:00,PM,82,10,March,2014,3,3/10/2014,Monday
70,7:30,AM,151,11,March,2014,3,3/11/2014,Tuesday
71,11:00,AM,65,11,March,2014,3,3/11/2014,Tuesday
72,12:00,PM,327,11,March,2014,3,3/11/2014,Tuesday
73,12:30,PM,110,11,March,2014,3,3/11/2014,Tuesday
74,13:00,PM,47,11,March,2014,3,3/11/2014,Tuesday
75,13:30,PM,56,11,March,2014,3,3/11/2014,Tuesday
76,17:00,PM,99,11,March,2014,3,3/11/2014,Tuesday
77,11:30,AM,101,12,March,2014,3,3/12/2014,Wednesday
78,12:00,PM,437,12,March,2014,3,3/12/2014,Wednesday
79,12:30,PM,34,12,March,2014,3,3/12/2014,Wednesday
80,13:00,PM,25,12,March,2014,3,3/12/2014,Wednesday
81,16:30,PM,95,12,March,2014,3,3/12/2014,Wednesday
82,17:30,PM,155,12,March,2014,3,3/12/2014,Wednesday
83,11:00,AM,35,13,March,2014,3,3/13/2014,Thursday
84,11:30,AM,44,13,March,2014,3,3/13/2014,Thursday
85,12:00,PM,344,13,March,2014,3,3/13/2014,Thursday
86,12:30,PM,151,13,March,2014,3,3/13/2014,Thursday
87,13:00,PM,121,13,March,2014,3,3/13/2014,Thursday
88,13:30,PM,65,13,March,2014,3,3/13/2014,Thursday
89,17:00,PM,150,13,March,2014,3,3/13/2014,Thursday
90,18:00,PM,54,13,March,2014,3,3/13/2014,Thursday
91,7:30,AM,55,14,March,2014,3,3/14/2014,Friday
92,11:00,AM,110,14,March,2014,3,3/14/2014,Friday
93,11:30,AM,51,14,March,2014,3,3/14/2014,Friday
94,12:00,PM,523,14,March,2014,3,3/14/2014,Friday
95,12:30,PM,34,14,March,2014,3,3/14/2014,Friday
96,13:00,PM,355,14,March,2014,3,3/14/2014,Friday
97,17:30,PM,49,14,March,2014,3,3/14/2014,Friday
98,11:00,AM,79,15,March,2014,3,3/15/2014,Saturday
99,11:30,AM,120,15,March,2014,3,3/15/2014,Saturday
100,12:00,PM,123,15,March,2014,3,3/15/2014,Saturday
101,12:30,PM,51,15,March,2014,3,3/15/2014,Saturday
102,13:00,PM,10,15,March,2014,3,3/15/2014,Saturday
103,17:00,PM,90,15,March,2014,3,3/15/2014,Saturday
104,11:30,AM,120,16,March,2014,3,3/16/2014,Sunday
105,12:00,PM,234,16,March,2014,3,3/16/2014,Sunday
106,12:30,PM,87,16,March,2014,3,3/16/2014,Sunday
107,13:30,PM,148,16,March,2014,3,3/16/2014,Sunday
108,14:00,PM,162,16,March,2014,3,3/16/2014,Sunday
109,11:30,AM,75,17,March,2014,3,3/17/2014,Monday
110,12:00,PM,80,17,March,2014,3,3/17/2014,Monday
111,13:00,PM,152,17,March,2014,3,3/17/2014,Monday
112,13:30,PM,27,17,March,2014,3,3/17/2014,Monday
113,16:30,PM,68,17,March,2014,3,3/17/2014,Monday
114,7:00,AM,355,18,March,2014,3,3/18/2014,Tuesday
115,8:00,AM,250,18,March,2014,3,3/18/2014,Tuesday
116,11:30,AM,55,18,March,2014,3,3/18/2014,Tuesday
117,12:00,PM,94,18,March,2014,3,3/18/2014,Tuesday
118,12:30,PM,184,18,March,2014,3,3/18/2014,Tuesday
119,13:00,PM,99,18,March,2014,3,3/18/2014,Tuesday
120,18:00,PM,45,18,March,2014,3,3/18/2014,Tuesday
121,11:00,AM,110,19,March,2014,3,3/19/2014,Wednesday
122,11:30,AM,105,19,March,2014,3,3/19/2014,Wednesday
123,12:00,PM,228,19,March,2014,3,3/19/2014,Wednesday
124,12:30,PM,33,19,March,2014,3,3/19/2014,Wednesday
125,13:00,PM,38,19,March,2014,3,3/19/2014,Wednesday
126,13:30,PM,151,19,March,2014,3,3/19/2014,Wednesday
127,11:00,AM,176,20,March,2014,3,3/20/2014,Thursday
128,11:30,AM,198,20,March,2014,3,3/20/2014,Thursday
129,12:00,PM,349,20,March,2014,3,3/20/2014,Thursday
130,12:30,PM,114,20,March,2014,3,3/20/2014,Thursday
131,13:00,PM,294,20,March,2014,3,3/20/2014,Thursday
132,17:00,PM,300,20,March,2014,3,3/20/2014,Thursday
133,8:00,AM,50,21,March,2014,3,3/21/2014,Friday
134,11:00,AM,87,21,March,2014,3,3/21/2014,Friday
135,12:00,PM,107,21,March,2014,3,3/21/2014,Friday
136,12:30,PM,45,21,March,2014,3,3/21/2014,Friday
137,13:00,PM,65,21,March,2014,3,3/21/2014,Friday
138,18:00,PM,26,21,March,2014,3,3/21/2014,Friday
139,11:00,AM,62,22,March,2014,3,3/22/2014,Saturday
140,12:00,PM,237,22,March,2014,3,3/22/2014,Saturday
141,12:30,PM,21,22,March,2014,3,3/22/2014,Saturday
142,13:00,PM,203,22,March,2014,3,3/22/2014,Saturday
143,17:00,PM,20,22,March,2014,3,3/22/2014,Saturday
144,12:00,PM,323,23,March,2014,3,3/23/2014,Sunday
145,12:30,PM,61,23,March,2014,3,3/23/2014,Sunday
146,13:00,PM,69,23,March,2014,3,3/23/2014,Sunday
147,13:30,PM,80,23,March,2014,3,3/23/2014,Sunday
148,11:00,AM,154,24,March,2014,3,3/24/2014,Monday
149,11:30,AM,93,24,March,2014,3,3/24/2014,Monday
150,12:00,PM,260,24,March,2014,3,3/24/2014,Monday
151,12:30,PM,68,24,March,2014,3,3/24/2014,Monday
152,13:00,PM,166,24,March,2014,3,3/24/2014,Monday
