Time	Time_of_day	Visitors	Day	Month	year
12:00 PM	PM	15	14	January	2014
1:00 PM	PM	58	17	January	2014
12:30 PM	PM	24	18	January	2014
1:30 PM	PM	56	21	January	2014
11:30 AM	AM	50	22	January	2014
FOOD COURT CLOSED	#VALUE!		2	February	2014
11:30 AM	AM	24	5	February	2014
1:00 PM	PM	94	6	February	2014
12:00 PM	PM	69	8	February	2014
FOOD COURT CLOSED	#VALUE!		9	February	2014
1:00 PM	PM	83	10	February	2014
12:00 PM	PM	49	11	February	2014
1:00 PM	PM	36	12	February	2014
11:00 AM	AM	83	13	February	2014
12:00 PM	PM	47	13	February	2014
1:00 PM	PM	139	13	February	2014
12:00 PM	PM	69	14	February	2014
11:00 AM	AM	61	15	February	2014
12:00 PM	PM	220	15	February	2014
12:30 PM	PM	40	15	February	2014
1:00 PM	PM	90	15	February	2014
FOOD COURT CLOSED	#VALUE!		16	February	2014
11:30 AM	AM	54	17	February	2014
12:00 PM	PM	159	18	February	2014
12:30 PM	PM	171	18	February	2014
5:00 PM	PM	24	18	February	2014
6:00 PM	PM	100	18	February	2014
12:00 PM	PM	34	19	February	2014
5:00 PM	PM	53	19	February	2014
1:00 PM	PM	17	20	February	2014
12:00 PM	PM	110	21	February	2014
12:30 PM	PM	93	22	February	2014
FOOD COURT CLOSED	#VALUE!		23	February	2014
7:30 AM	AM	96	25	February	2014
1:00 PM	PM	21	25	February	2014
5:30 PM	PM	119	25	February	2014
12:00 PM	PM	50	26	February	2014
12:30 PM	PM	132	26	February	2014
6:00 PM	PM	84	26	February	2014
11:30 AM	AM	22	27	February	2014
12:00 PM	PM	106	27	February	2014
11:00 AM	AM	294	28	February	2014
11:30 AM	AM	134	28	February	2014
12:30 PM	PM	61	28	February	2014
1:30 PM	PM	194	28	February	2014
1:00 PM	PM	89	1	March	2014
12:00 PM	PM	185	2	March	2014
12:30 PM	PM	119	3	March	2014
1:00 PM	PM	105	3	March	2014
12:30 PM	PM	263	4	March	2014
1:30 PM	PM	34	4	March	2014
11:00 AM	AM	90	5	March	2014
12:00 PM	PM	148	5	March	2014
12:30 PM	PM	114	5	March	2014
5:30 PM	PM	137	5	March	2014
7:30 AM	AM	90	6	March	2014
11:30 AM	AM	260	6	March	2014
12:30 PM	PM	69	6	March	2014
11:30 AM	AM	58	7	March	2014
12:00 PM	PM	162	7	March	2014
12:30 PM	PM	96	7	March	2014
1:00 PM	PM	60	7	March	2014
1:30 PM	PM	54	7	March	2014
2:30 PM	PM	28	7	March	2014
5:30 PM	PM	121	7	March	2014
12:00 PM	PM	46	8	March	2014
12:30 PM	PM	364	8	March	2014
1:00 PM	PM	125	8	March	2014
12:00 PM	PM	273	9	March	2014
12:30 PM	PM	262	9	March	2014
1:00 PM	PM	36	9	March	2014
12:00 PM	PM	349	10	March	2014
1:00 PM	PM	82	10	March	2014
7:30 AM	AM	151	11	March	2014
11:00 AM	AM	65	11	March	2014
12:00 PM	PM	327	11	March	2014
12:30 PM	PM	110	11	March	2014
1:00 PM	PM	47	11	March	2014
1:30 PM	PM	56	11	March	2014
5:00 PM	PM	99	11	March	2014
11:30 AM	AM	101	12	March	2014
12:00 PM	PM	437	12	March	2014
12:30 PM	PM	34	12	March	2014
1:00 PM	PM	25	12	March	2014
4:30 PM	PM	95	12	March	2014
5:30 PM	PM	155	12	March	2014
11:00 AM	AM	35	13	March	2014
11:30 AM	AM	44	13	March	2014
12:00 PM	PM	344	13	March	2014
12:30 PM	PM	151	13	March	2014
1:00 PM	PM	121	13	March	2014
1:30 PM	PM	65	13	March	2014
5:00 PM	PM	150	13	March	2014
6:00 PM	PM	54	13	March	2014
7:30 AM	AM	55	14	March	2014
11:00 AM	AM	110	14	March	2014
11:30 AM	AM	51	14	March	2014
12:00 PM	PM	523	14	March	2014
12:30 PM	PM	34	14	March	2014
1:00 PM	PM	355	14	March	2014
5:30 PM	PM	49	14	March	2014
11:00 AM	AM	79	15	March	2014
11:30 AM	AM	120	15	March	2014
12:00 PM	PM	123	15	March	2014
12:30 PM	PM	51	15	March	2014
1:00 PM	PM	10	15	March	2014
5:00 PM	PM	90	15	March	2014
11:30 AM	AM	120	16	March	2014
12:00 PM	PM	234	16	March	2014
12:30 PM	PM	87	16	March	2014
1:30 PM	PM	148	16	March	2014
2:00 PM	PM	162	16	March	2014
11:30 AM	AM	75	17	March	2014
12:00 PM	PM	80	17	March	2014
1:00 PM	PM	152	17	March	2014
1:30 PM	PM	27	17	March	2014
4:30 PM	PM	68	17	March	2014
7:00 AM	AM	355	18	March	2014
8:00 AM	AM	250	18	March	2014
11:30 AM	AM	55	18	March	2014
12:00 PM	PM	94	18	March	2014
12:30 PM	PM	184	18	March	2014
1:00 PM	PM	99	18	March	2014
6:00 PM	PM	45	18	March	2014
11:00 AM	AM	110	19	March	2014
11:30 AM	AM	105	19	March	2014
12:00 PM	PM	228	19	March	2014
12:30 PM	PM	33	19	March	2014
1:00 PM	PM	38	19	March	2014
1:30 PM	PM	151	19	March	2014
11:00 AM	AM	176	20	March	2014
11:30 AM	AM	198	20	March	2014
12:00 PM	PM	349	20	March	2014
12:30 PM	PM	114	20	March	2014
1:00 PM	PM	294	20	March	2014
5:00 PM	PM	300	20	March	2014
8:00 AM	AM	50	21	March	2014
11:00 AM	AM	87	21	March	2014
12:00 PM	PM	107	21	March	2014
12:30 PM	PM	45	21	March	2014
1:00 PM	PM	65	21	March	2014
6:00 PM	PM	26	21	March	2014
11:00 AM	AM	62	22	March	2014
12:00 PM	PM	237	22	March	2014
12:30 PM	PM	21	22	March	2014
1:00 PM	PM	203	22	March	2014
5:00 PM	PM	20	22	March	2014
12:00 PM	PM	323	23	March	2014
12:30 PM	PM	61	23	March	2014
1:00 PM	PM	69	23	March	2014
1:30 PM	PM	80	23	March	2014
11:00 AM	AM	154	24	March	2014
11:30 AM	AM	93	24	March	2014
12:00 PM	PM	260	24	March	2014
12:30 PM	PM	68	24	March	2014
1:00 PM	PM	166	24	March	2014
5:00 PM	PM	100	24	March	2014
6:00 PM	PM	75	24	March	2014
11:30 AM	AM	15	25	March	2014
12:00 PM	PM	462	25	March	2014
12:30 PM	PM	193	25	March	2014
1:00 PM	PM	87	25	March	2014
1:30 PM	PM	85	25	March	2014
5:00 PM	PM	41	25	March	2014
6:00 PM	PM	181	25	March	2014
11:00 AM	AM	250	26	March	2014
12:00 PM	PM	196	26	March	2014
12:30 PM	PM	135	26	March	2014
5:30 PM	PM	185	26	March	2014
6:00 PM	PM	334	26	March	2014
7:00 AM	AM	55	27	March	2014
11:00 AM	AM	20	27	March	2014
12:00 PM	PM	96	27	March	2014
12:30 PM	PM	389	27	March	2014
1:00 PM	PM	138	27	March	2014
2:00 PM	PM	95	27	March	2014
5:00 PM	PM	180	27	March	2014
12:00 PM	PM	532	28	March	2014
12:30 PM	PM	87	28	March	2014
1:00 PM	PM	101	28	March	2014
4:30 PM	PM	440	28	March	2014
5:00 PM	PM	126	28	March	2014
11:00 AM	AM	55	29	March	2014
11:30 AM	AM	24	29	March	2014
12:00 PM	PM	338	29	March	2014
12:30 PM	PM	258	29	March	2014
1:30 PM	PM	48	29	March	2014
11:30 AM	AM	307	1	April	2014
12:00 PM	PM	119	1	April	2014
12:30 PM	PM	125	1	April	2014
1:00 PM	PM	163	1	April	2014
2:30 PM	PM	16	1	April	2014
6:00 PM	PM	60	1	April	2014
12:00 PM	PM	107	2	April	2014
12:30 PM	PM	87	2	April	2014
1:00 PM	PM	78	2	April	2014
1:30 PM	PM	30	2	April	2014
5:30 PM	PM	105	2	April	2014
6:00 PM	PM	505	2	April	2014
11:30 AM	AM	48	3	April	2014
12:00 PM	PM	426	3	April	2014
12:30 PM	PM	54	3	April	2014
1:00 PM	PM	650	3	April	2014
4:30 PM	PM	100	3	April	2014
5:30 PM	PM	71	3	April	2014
6:00 PM	PM	206	3	April	2014
11:00 AM	AM	33	4	April	2014
11:30 AM	AM	84	4	April	2014
12:00 PM	PM	134	4	April	2014
12:30 PM	PM	69	4	April	2014
1:00 PM	PM	95	4	April	2014
1:30 PM	PM	56	4	April	2014
2:00 PM	PM	30	4	April	2014
5:30 PM	PM	100	4	April	2014
11:00 AM	AM	54	5	April	2014
11:30 AM	AM	249	5	April	2014
12:00 PM	PM	117	5	April	2014
12:30 PM	PM	277	5	April	2014
1:00 PM	PM	150	5	April	2014
1:30 PM	PM	81	5	April	2014
5:00 PM	PM	84	5	April	2014
5:30 PM	PM	25	5	April	2014
12:00 PM	PM	63	6	April	2014
12:30 PM	PM	43	6	April	2014
1:00 PM	PM	348	6	April	2014
4:00 PM	PM	44	6	April	2014
11:00 AM	AM	56	7	April	2014
12:00 PM	PM	181	7	April	2014
1:30 PM	PM	81	7	April	2014
2:00 PM	PM	33	7	April	2014
5:30 PM	PM	68	7	April	2014
11:00 AM	AM	115	8	April	2014
11:30 AM	AM	171	8	April	2014
12:00 PM	PM	415	8	April	2014
12:30 PM	PM	588	8	April	2014
1:00 PM	PM	103	8	April	2014
1:30 PM	PM	69	8	April	2014
4:30 PM	PM	80	8	April	2014
11:30 AM	AM	34	9	April	2014
12:00 PM	PM	455	9	April	2014
12:30 PM	PM	250	9	April	2014
1:00 PM	PM	308	9	April	2014
1:30 PM	PM	57	9	April	2014
4:00 PM	PM	52	9	April	2014
5:00 PM	PM	118	9	April	2014
7:30 AM	AM	84	10	April	2014
11:00 AM	AM	109	10	April	2014
11:30 AM	AM	131	10	April	2014
12:00 PM	PM	242	10	April	2014
12:30 PM	PM	484	10	April	2014
1:00 PM	PM	157	10	April	2014
1:30 PM	PM	80	10	April	2014
5:30 PM	PM	200	10	April	2014
6:00 PM	PM	354	10	April	2014
7:30 AM	AM	85	11	April	2014
11:00 AM	AM	134	11	April	2014
11:30 AM	AM	60	11	April	2014
12:00 PM	PM	186	11	April	2014
12:30 PM	PM	205	11	April	2014
1:00 PM	PM	230	11	April	2014
1:30 PM	PM	84	11	April	2014
4:30 PM	PM	255	11	April	2014
5:00 PM	PM	131	11	April	2014
5:30 PM	PM	91	11	April	2014
6:30 PM	PM	27	11	April	2014
11:00 AM	AM	130	12	April	2014
11:30 AM	AM	172	12	April	2014
12:00 PM	PM	243	12	April	2014
12:30 PM	PM	206	12	April	2014
1:00 PM	PM	80	12	April	2014
1:30 PM	PM	105	12	April	2014
4:30 PM	PM	56	12	April	2014
5:00 PM	PM	101	12	April	2014
11:00 AM	AM	51	13	April	2014
11:30 AM	AM	27	13	April	2014
12:00 PM	PM	163	13	April	2014
12:30 PM	PM	152	13	April	2014
1:30 PM	PM	47	13	April	2014
7:30 AM	AM	50	14	April	2014
8:30 AM	AM	33	14	April	2014
11:00 AM	AM	101	14	April	2014
11:30 AM	AM	153	14	April	2014
12:00 PM	PM	167	14	April	2014
12:30 PM	PM	152	14	April	2014
1:00 PM	PM	53	14	April	2014
1:30 PM	PM	82	14	April	2014
6:00 PM	PM	35	14	April	2014
11:30 AM	AM	34	15	April	2014
12:00 PM	PM	338	15	April	2014
12:30 PM	PM	12	15	April	2014
5:00 PM	PM	88	15	April	2014
11:00 AM	AM	31	16	April	2014
11:30 AM	AM	34	16	April	2014
12:00 PM	PM	323	16	April	2014
12:30 PM	PM	211	16	April	2014
1:00 PM	PM	71	16	April	2014
1:30 PM	PM	61	16	April	2014
2:00 PM	PM	51	16	April	2014
5:30 PM	PM	194	16	April	2014
6:00 PM	PM	150	16	April	2014
10:30 AM	AM	25	17	April	2014
11:00 AM	AM	175	17	April	2014
11:30 AM	AM	137	17	April	2014
12:00 PM	PM	563	17	April	2014
12:30 PM	PM	94	17	April	2014
1:00 PM	PM	34	17	April	2014
6:00 PM	PM	70	17	April	2014
8:00 AM	AM	77	18	April	2014
11:30 AM	AM	144	18	April	2014
12:00 PM	PM	287	18	April	2014
12:30 PM	PM	87	18	April	2014
1:30 PM	PM	79	18	April	2014
12:30 PM	PM	242	19	April	2014
12:00 PM	PM	201	20	April	2014
12:00 PM	PM	307	21	April	2014
12:30 PM	PM	52	21	April	2014
11:00 AM	AM	92	22	April	2014
11:30 AM	AM	270	22	April	2014
12:00 PM	PM	239	22	April	2014
12:30 PM	PM	37	22	April	2014
1:00 PM	PM	73	22	April	2014
1:30 PM	PM	113	22	April	2014
2:00 PM	PM	98	22	April	2014
4:30 PM	PM	28	22	April	2014
5:30 PM	PM	92	22	April	2014
11:30 AM	AM	70	23	April	2014
12:00 PM	PM	716	23	April	2014
12:30 PM	PM	335	23	April	2014
1:00 PM	PM	60	23	April	2014
1:30 PM	PM	111	23	April	2014
4:30 PM	PM	56	23	April	2014
5:00 PM	PM	46	23	April	2014
11:30 AM	AM	96	24	April	2014
12:00 PM	PM	335	24	April	2014
12:30 PM	PM	115	24	April	2014
1:00 PM	PM	359	24	April	2014
5:00 PM	PM	133	24	April	2014
5:30 PM	PM	472	24	April	2014
6:30 PM	PM	48	24	April	2014
8:00 AM	AM	108	25	April	2014
11:00 AM	AM	82	25	April	2014
11:30 AM	AM	45	25	April	2014
12:00 PM	PM	1032	25	April	2014
12:30 PM	PM	578	25	April	2014
1:00 PM	PM	277	25	April	2014
1:30 PM	PM	308	25	April	2014
5:00 PM	PM	192	25	April	2014
5:30 PM	PM	155	25	April	2014
6:00 PM	PM	81	25	April	2014
11:00 AM	AM	174	26	April	2014
11:30 AM	AM	143	26	April	2014
12:00 PM	PM	346	26	April	2014
12:30 PM	PM	150	26	April	2014
1:00 PM	PM	96	26	April	2014
4:00 PM	PM	44	26	April	2014
11:00 AM	AM	303	1	May	2014
11:30 AM	AM	27	1	May	2014
11:45 AM	AM	37	1	May	2014
12:00 PM	PM	765	1	May	2014
12:15 PM	PM	49	1	May	2014
12:30 PM	PM	195	1	May	2014
1:00 PM	PM	356	1	May	2014
5:00 PM	PM	255	1	May	2014
5:30 PM	PM	352	1	May	2014
6:00 PM	PM	58	1	May	2014
10:30 AM	AM	57	2	May	2014
10:45 AM	AM	43	2	May	2014
11:00 AM	AM	138	2	May	2014
